[Mon Feb 01 20:47:09 2016]	[client: 112.198.78.68] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Mon Feb 01 20:49:23 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Existing]
[Mon Feb 01 20:49:23 2016]	[client: 119.94.227.202] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]
[Mon Feb 01 20:52:31 2016]	[client: 121.54.44.171] [file: core.class.php] - [Device ID: a4ef50898841f3d2, Platform: android, PUSH ID: APA91bHd-kiV-YEmGxEbuPeZjyr2TqEjn7SvDeYrumgJBohRETRWwEnsjFyA68DM0umB5Ss4Z5PgkRlAg_wPPpejr_0EF7WkaiqmrfP_A-aJCTxVZAEena8jyPft4fxHpij8aPTtqOLz]	 Status: [Success]
[Mon Feb 01 20:52:31 2016]	[client: 121.54.44.171] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a4ef50898841f3d2, Platform: android, PUSH ID: APA91bHd-kiV-YEmGxEbuPeZjyr2TqEjn7SvDeYrumgJBohRETRWwEnsjFyA68DM0umB5Ss4Z5PgkRlAg_wPPpejr_0EF7WkaiqmrfP_A-aJCTxVZAEena8jyPft4fxHpij8aPTtqOLz]
[Mon Feb 01 20:55:48 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Success]
[Mon Feb 01 20:55:48 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Mon Feb 01 21:04:33 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Mon Feb 01 21:04:33 2016]	[client: 119.94.227.202] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]
[Mon Feb 01 21:12:58 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Mon Feb 01 21:12:59 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Mon Feb 01 22:01:25 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Existing]
[Mon Feb 01 22:01:25 2016]	[client: 119.94.227.202] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]
[Mon Feb 01 22:21:29 2016]	[client: 112.198.100.30] [file: core.class.php] - [Device ID: 2af878cc2751442a, Platform: android, PUSH ID: APA91bGKXOP7Q7c6yJANYv9jLlja0z9qRDIDCWqANZe0yxa-UkX7gAR9k-U80vyioErtNXVUHIkeRK3RsLQwnH9KFc1VOb3bcf8c2cTXKBTxl4HGqqrLycIgaj8e6PP0pBZo8UypU4TC]	 Status: [Success]
[Mon Feb 01 22:21:29 2016]	[client: 112.198.100.30] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2af878cc2751442a, Platform: android, PUSH ID: APA91bGKXOP7Q7c6yJANYv9jLlja0z9qRDIDCWqANZe0yxa-UkX7gAR9k-U80vyioErtNXVUHIkeRK3RsLQwnH9KFc1VOb3bcf8c2cTXKBTxl4HGqqrLycIgaj8e6PP0pBZo8UypU4TC]
